Name,Salesforce Account ID,Infrastructure Project ID,Contract Start Date,Live,Salesforce Opportunity ID,SFDC Magento Account ID,Status
CSD Varejo,0011O00002UxoOaQAJ,z64h2vk3crbsk,4/4/22,8/22/22,0066O00000ihzb5QAA,0011C00002pgp7ZQAQ,Live
KCS Education - Cloud Pro,0015Y00002tz1KVQAY,7rrflc6qrcymg,4/6/22,8/12/22,0066O00000iiC3KQAU,0016O000037IeilQAC,Live
CY4Gate_Cloud,0011O00002KxI5fQAF,sgra5njhuezxg,4/18/22,8/10/22,0066O00000nJsWOQA0,0011C00002kJb0JQAS,Live
Vinci Airports_DR3158685 – Adobe Commerce,0011400001fG3YIAA0,mua7bfocchb3k,4/1/22,7/5/22,0066O00000nJgxFQAS,0011C00002IfeN3QAJ,Live
Chilecompra 2nd Prod - Cloud Pro,0011O00002KxKVOQA3,xfr33htbbjy5s,4/29/22,6/13/22,0066O00000nJfd6QAC,0011C000025RpVaQAK,Live
Queen City Med Mart,0011O00002KxIckQAF,tin2rimoygcaq,4/4/22,4/25/22,0066O00000ihybbQAA,0011500001Hrj7CAAR,Live
Mamae Presentes,,5gj42ns3biqis,6/15/20,,0061C00000i58oNQAQ,0011C00002l5hbqQAA,Current
Enterprise -   CHC 606 - Snapp - DR2534761,00130000010JeobAAC,mqzzn7vjufv44,6/16/20,,0061C00000iSa4RQAS,0011C00002R7EOQQA3,Current
Naaman Vardinon,0011O00002UyjgXQAR,ot7xargj3kzn6,6/26/20,,0061C00000hZ8KFQA0,0011C00002j9T4zQAE,On Hold
Roche Diagnostics - ROCHE EU,0013000000pnhbYAAQ,dmdvri26cwdr6,6/1/20,,,0011500001iIkPqAAK,Current
Enterprise - Kimberly-Clark - Magento B2B DR2659675,,4hmxqeebcx5e4,6/1/20,,0061C00000iSSQ3QAO,0011C00002f7yznQAA,Decommissioned
Enterprise -   Assa Abloy Ltd (Yale) - Magento Extension - DR2619515,,ynti7vfsvbh5g,6/16/20,,0061C00000iSbv2QAC,0011C00002R5B4QQAV,Current
Tupperware,https://adobe.my.salesforce.com/0061O00001QbuiP,ptnpkg47buavi,6/1/20,,0061C00000i4eIiQAI,0011500001IgWDNAA3,On Hold
LALS Group,,clpcps7vzi3vi,6/30/20,,0061C00000ft6xvQAA,0011C00002bT88TQAS,Decommission Submitted
Photograve Corporation,,gxstfshxwwlzu,6/26/20,9/28/23,0061C00000h6TjyQAE,0011500001IicvEAAR,Current
Kjellman AS,,jmalmxr5itqso,6/15/20,5/14/23,0061C00000gJ4fjQAC,0011500001IiFIUAA3,Live
Mills Brands Pty ltd,,n2w2myxci5ium,6/1/20,9/1/22,0061C00000gIu7DQAS,0011C00002dkV4KQAU,Live
FRModa,,agevvikdr32ie,6/1/20,7/7/22,0061C00000eOpmJQAS,0011C00002W15qYQAR,Live
A-Force,,he4zdst3wr4nm,6/1/20,6/7/22,0061C00000fvzN6QAI,0011C00002cUAjqQAG,Live
Roche Diagnostics - ROCHE APAC,https://adobe.my.salesforce.com/0013000000pnhbY?srPos=1&srKp=001,hyhumhdhta2q6,6/8/20,1/28/22,,https://using.my.salesforce.com/0011500001iIkPq,Live
Agile Medical dba The CPAP Shop - Cloud Conversion,,5eopmmrh66mlm,6/1/20,1/19/22,0061C00000hy7leQAA,0011500001IicwMAAR,Live
Brandon Hire Station Vp plc,,3wujynacsr2tc,6/2/20,1/18/22,0061C00000bYvy3QAC,0011C00002GIrVFQA1,Live
Frugi (Cut4Cloth Limited),,ghdohewnq5bpm,6/15/20,1/12/22,0061C00000gIUlwQAG,0011C00002dk17tQAA,Decommission Submitted
Trecx S.A. (Pintulac),,dpc3oz7hgsoqi,6/22/20,12/21/21,0061C00000i4APCQA2,0011C00002ZiuBwQAJ,Live
Arc Americas Inc.,,thmupfx7zlmjo,6/1/20,12/15/21,0061C00000hy7iuQAA,0011C00002kJVLIQA4,Live
Grup Carrera (kompratelo),,dvurwo4yslu3i,6/30/20,11/19/21,0061C00000h7xCJQAY,0011C00002hh15bQAA,Live
Fischer,,peyesrxyoqwuq,6/30/20,10/7/21,0061C00000iRvAlQAK,0011C00002cUsjrQAC,Live
Enterprise - Frederiksen - Dayspring Cards - Magento - Move to Cloud  DR2619218,,bxtohhbqs3xu4,6/5/20,8/5/21,0061C00000iSVQHQA4,0011500001IgEtPAAV,Live
Enterprise -   Vodafone Italia - Commerce Cloud -  DR2706220,0011O00002KxI67QAF,3ypf5pilg6lso,6/1/20,7/30/21,0061C00000ir0qVQAQ,0011C00002hgK8mQAE,Live
Dis Comércio de Eletrodomésticos S.A. - Ar Clube,,qwr2yotmgrhki,6/30/20,7/7/21,,0011C00002kKLi8QAG,Decommission Submitted
Core Group (iStore),,wgbpmau2upbce,6/23/20,6/28/21,0061C00000hyGPuQAM,0011500001IiG65AAF,Live
Pushgate Pty Ltd,,hst3c5taktd6i,6/15/20,6/10/21,0061C00000Ysu7LQAR,0011C00002X3dwNQAR,Live
Paulig Ltd,,nv2xlxx5lehxk,6/13/20,5/18/21,,0011C00002mp35cQAA,Live
Royal River Trading,,4awtrkozgynzs,6/15/20,5/12/21,0061C00000eRgeeQAC,0011C00002l2B8ZQAU,Live
Golfposer Ltd,,yarx7ka5575to,6/8/20,5/12/21,0061C00000iRtcUQAS,0011C00002movxqQAA,Live
Assuresoft,,emnitew26jfx2,6/29/20,5/11/21,0061C00000iRqjbQAC,0011C00002mosp1QAA,Decommission Submitted
Rehab Medic,,ja7qt7rqg5xzq,6/30/20,5/6/21,0061C00000hakHXQAY,0011C00002jBQV4QAO,Live
Mediq Holding Deutschland GmbH,,oarb6hbnhb2u4,6/17/20,4/27/21,0061C00000iS04JQAS,0011500001UIvaeAAD,Live
Benum Norway AS,,ihnn7j4jxavom,6/19/20,4/19/21,0061C00000gbF6xQAE,0011C00002gHGJDQA4,Decommission Submitted
Zohoor Al Reef,,mdni6prly22pk,6/29/20,4/16/21,0061C00000iTc0VQAS,0011500001IiktPAAR,Live
The City Literary Institute - Cloud Pro,,zwpzartjazfb6,6/1/20,4/5/21,0061C00000i6BQ5QAM,0011500001IiTZ2AAN,Live
UWT GmbH,,y4dwibnpkbgmw,6/15/20,3/24/21,0061C00000dr7rAQAQ,0011C00002Szr4xQAB,Live
"YS Garments, LLC",,n5nr6vfan6l4o,6/24/20,3/11/21,0061C00000fvWvFQAU,0011C00002cTbCyQAK,Live
Pirelli Comercial de Pneus Brasil Ltda,,2fstt7rlpepww,6/3/20,3/2/21,0061C00000h8EjeQAE,0011C00002hhNbEQAU,Live
Kustom Cycles dba Klock Werks,,6gf5qdozqjh22,6/1/20,2/27/21,0061C00000i3RRvQAM,0011C00002l3sZQQAY,Decommission Submitted
Interroll Management (Pro -Azure),,7iggxxqw77qau,6/1/20,2/10/21,0061C00000WvLFhQAN,0011C00002gESqVQAW,Decommissioned
Raoul Chagnon,,dbkofp4zwllxu,6/1/20,1/28/21,0061C00000hz5MSQAY,0011C00002kKfcTQAS,Live
Enterprise -   VDO - Online Shop MGTO - DR2407536,0011O00002KxHmKQAV,ezf4ea2246f4e,6/1/20,1/24/21,0061C00000iRkvqQAC,0011C00002R5QDgQAN,Current
W. Atlee Burpee & Co,,j5axkcqyhe6rg,6/18/20,1/21/21,0061C00000i2utwQAA,0011500001IiULtAAN,Live
Avron Foods Limited,,zqsil3cwvza4u,6/10/20,1/17/21,0061C00000h7755QAA,0011C00002hfo9QQAQ,Live
Tuthill Corporation,,vqijsmmmbnoq2,6/8/20,1/11/21,0061C00000h9aXVQAY,0011C00002hgN3PQAU,Live
Renovation Kingdom Pty Ltd,,u63hefvr6rfqk,6/22/20,12/15/20,0061C00000i4VLMQA2,0011C00002UBr0MQAT,Live
Compression Stockings,,ssic4anryoepu,6/25/20,12/8/20,0061C00000hYvweQAC,0011C00002j9DPeQAM,Decommissioned
PVG Holding,,q3iz5pw3kqavw,6/15/20,12/7/20,0061C00000i3SYcQAM,0011C00002l3uCsQAI,Live
L-Fashion Group Oy (Luhta),,3eub275emazic,6/12/20,11/26/20,0061C00000iVaGYQA0,0011500001IgrmqAAB,Live
ARK SWIMWEAR PTY LTD,,bmja7weg3qqqm,6/15/20,11/25/20,0061C00000iRezVQAS,0011C00002GMqYqQAL,Live
